,Mkt-RF,SMB,HML,RMW,CMA,WML
2015-11-27 00:00:00,0.010965422834028127,0.02751506839640946,0.0,0.0,0.0,-0.004475360124245126
2015-12-04 00:00:00,-0.02024504123467341,0.027311111023223374,0.0,0.0,0.0,-0.007072746762030797
2015-12-11 00:00:00,-0.02203185715349698,0.007665058429634969,0.0,0.0,0.0,-0.0010710640340124526
2015-12-18 00:00:00,0.019906838112325298,0.01632093699698678,0.0,0.0,0.0,-0.004186808195640705
2015-12-25 00:00:00,0.01276735960440023,0.020675291734263856,0.0,0.0,0.0,-0.010115653753140504
2016-01-01 00:00:00,0.01085100528403804,0.01466954273875547,0.0,0.0,0.0,-0.0024133451565253004
2016-01-08 00:00:00,-0.04341615908689411,0.024696012871880058,0.0,0.0,0.0,-0.027749374487992112
2016-01-15 00:00:00,-0.02151595320141586,-0.013966890204881455,0.0,0.0,0.0,0.00682168409621646
2016-01-22 00:00:00,-0.002063729836520478,-0.016748926946514166,0.0,0.0,0.0,0.0013734900716648943
2016-01-29 00:00:00,0.01900984252667781,0.011160704494671037,0.0,0.0,0.0,-0.00804309856451757
2016-02-05 00:00:00,-0.00984322295135942,-0.018918614128409103,0.0,0.0,0.0,0.012660397609094962
2016-02-12 00:00:00,-0.0678519309019221,-0.03346125643637725,0.0,0.0,0.0,0.026700633258262288
2016-02-19 00:00:00,0.03291812693948226,-0.01107976435523318,0.0,0.0,0.0,0.0013269300520844726
2016-02-26 00:00:00,-0.025101411087612213,-0.008842420076203231,0.0,0.0,0.0,-0.0018734808873017497
2016-03-04 00:00:00,0.06481028452736592,0.0015424445428826455,0.0,0.0,0.0,-0.006593534977802337
2016-03-11 00:00:00,0.0033198310475859305,0.013192755360786304,0.0,0.0,0.0,-0.003715405046973057
2016-03-18 00:00:00,0.012536270657939719,-0.012880501221602326,0.0,0.0,0.0,0.0022729277251411963
2016-03-25 00:00:00,0.014748124547594887,-0.011451918230092782,0.0,0.0,0.0,0.005744471889627456
2016-04-01 00:00:00,-0.00044711920073869926,-0.004155713346469294,0.0,0.0,0.0,-0.004974261842324114
2016-04-08 00:00:00,-0.020465265150896528,0.021689467310279147,0.0,0.0,0.0,-0.010311118323451926
2016-04-15 00:00:00,0.03907904388598249,-0.005731034202553626,0.0,0.0,0.0,0.007825769389884447
2016-04-22 00:00:00,0.006222523315181139,0.004983169222840466,0.0,0.0,0.0,0.005002585365323137
2016-04-29 00:00:00,-0.006266378188434674,-0.0021323365631651745,0.0,0.0,0.0,-0.00022192844671492865
2016-05-06 00:00:00,-0.014821984288761358,0.0008527954969572774,0.0,0.0,0.0,-0.002236344192392081
2016-05-13 00:00:00,0.010532130546417662,-3.355692877315096e-05,0.0,0.0,0.0,0.013756584124505115
2016-05-20 00:00:00,-0.008342999634799675,0.015106044576177171,0.0,0.0,0.0,-0.005249902357190032
2016-05-27 00:00:00,0.05251167100340193,-0.014313619728796488,0.0,0.0,0.0,0.010985149183970349
2016-06-03 00:00:00,0.007864736517049442,-0.017332196831723636,0.0,0.0,0.0,0.005129783413444772
2016-06-10 00:00:00,-0.006173365269284692,0.011480593759416707,0.0,0.0,0.0,-0.0032799432802692076
2016-06-17 00:00:00,1.8407553025401313e-05,0.012316485271227777,0.0,0.0,0.0,-0.015526871192544223
2016-06-24 00:00:00,-0.009987527319473388,-0.000659737849248894,0.0,0.0,0.0,0.006124154746193131
2016-07-01 00:00:00,0.02964042094109942,0.013837700363497553,0.0,0.0,0.0,-0.006014579483272733
2016-07-08 00:00:00,-0.0006182994595596014,0.011469050632505202,0.0,0.0,0.0,-0.0028985805367873173
2016-07-15 00:00:00,0.026215901359117444,-0.0032798963072300413,0.0,0.0,0.0,0.010355045104057437
2016-07-22 00:00:00,-2.343823065831252e-05,-0.0026843491540144253,0.0,0.0,0.0,0.005410592828882845
2016-07-29 00:00:00,0.01139181876815143,-0.006300491176638194,0.0,0.0,0.0,0.006341646210249295
2016-08-05 00:00:00,0.005168766640620381,-0.01712590099416696,0.0,0.0,0.0,0.009035870494647328
2016-08-12 00:00:00,-0.010480067245898561,-0.008481405900429763,0.0,0.0,0.0,0.00153148101777862
2016-08-19 00:00:00,0.008699801167535437,-0.012867512946153667,0.0,0.0,0.0,0.008494877443468801
2016-08-26 00:00:00,-0.010886312486013905,0.011628895157629555,0.0,0.0,0.0,0.004715094691123352
2016-09-02 00:00:00,0.027658117052624442,-0.004666808760088088,0.0,0.0,0.0,0.001628875027720811
2016-09-09 00:00:00,0.006475830726291987,0.007961060553787268,0.0,0.0,0.0,-0.008231567711774163
2016-09-16 00:00:00,-0.009795141825525433,0.009779943410274279,0.0,0.0,0.0,-0.010445130000628204
2016-09-23 00:00:00,0.005888505795964338,0.0026829357113693983,0.0,0.0,0.0,0.0008986807408666274
2016-09-30 00:00:00,-0.02495591588528656,-0.0026729604482984212,0.0,0.0,0.0,0.008809874579267084
2016-10-07 00:00:00,0.010039218319089827,0.02856973130117186,0.0,0.0,0.0,-0.004269934421640087
2016-10-14 00:00:00,-0.01312996963287505,0.017484325006030938,0.0,0.0,0.0,-0.0045741934513116
2016-10-21 00:00:00,0.012774589215512,0.02463129509064086,0.0,0.0,0.0,0.0032590183908842232
2016-10-28 00:00:00,-0.006332622718647651,0.014026676948944623,0.0,0.0,0.0,-0.00952587574621988
2016-11-04 00:00:00,-0.02364551979624918,0.001211563878980991,0.0,0.0,0.0,-0.006001015424452152
2016-11-11 00:00:00,-0.01629763691270192,-0.017403531589318434,0.0,0.0,0.0,0.012345353645949183
